MLService,Model,Version,GCC,LCC,PayrollService,System,Client,ABKRS,PERNR,Employee_Status,Employee_Type,Job_Code,WT_401KBT%,WT_401MTCH,WT_DEN,WT_Federal Withholding [USA] ,WT_GTL,WT_Gross_Pay,WT_HLTSAG,WT_HLTSAV,WT_LTD,WT_MED,WT_NEC,WT_Net_Pay,WT_REG,WT_SUI (ER) [USA],WT_State Withholding (Work) [USA],WT_Total_Deductions,WT_Total_EE_Taxes,WT_Total_ER_Taxes,WT_VIS
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,663,Active,Regular,102474,0.0,124.58,10.75,403.04,4.0,3114.59,3550,147.92,0.0,17.5,77.86,1940.12,3114.59,106.04,150.58,395.75,778.72,337.83,0.0
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,1152,Active,Regular,110809,962.5,110.0,10.91,130.54,17.63,2750.0,8100,337.5,13.34,42.0,68.75,722.96,2750.0,64.18,57.39,1657.26,369.78,259.5,0.0
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,3815,Active,Regular,102639,95.63,63.75,28.95,241.81,5.15,3187.5,0,0.0,0.0,56.0,79.68,2299.16,3187.5,13.78,220.96,188.26,700.08,255.87,5.65
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,4422,On Leave,Regular,102633,0.0,0.0,0.0,0.0,5.6,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.49,0.0
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,5526,Active,Regular,111757,0.0,0.0,0.0,200.06,1.47,2050.0,0,0.0,0.0,0.0,51.25,1686.29,2050.0,48.41,0.0,7.27,356.44,217.06,7.27
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,3616,Active,Regular,102613,646.88,172.5,61.11,306.86,33.76,4312.5,8100,337.5,13.58,85.61,107.81,2374.4,4312.5,112.23,143.53,1194.17,743.93,405.77,0.0
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,2078,Active,Regular,101935,837.96,197.17,36.77,1038.72,14.03,4929.17,7100,295.84,14.89,41.61,123.23,1990.67,4929.17,107.94,282.51,1271.1,1667.4,454.11,2.36
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,1922,Active,Regular,102495,0.0,111.17,0.0,326.1,3.36,2779.17,3550,147.92,0.0,17.5,69.48,1274.45,2779.17,6.18,0.0,978.42,526.3,216.97,0.0
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,5073,Active,Regular,103337,963.55,154.17,49.9,131.69,10.13,3854.17,4000,166.67,0.0,56.0,96.35,2052.89,3854.17,105.0,130.0,1264.96,536.32,379.63,1.94
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,536,Active,Regular,102320,192.21,109.83,7.72,280.81,3.69,2745.84,2900,120.84,0.0,17.5,68.65,1808.23,2745.84,76.15,119.36,338.27,599.34,286.08,0.0
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,2782,Active,Regular,101969,452.25,180.89,30.07,283.69,36.12,4522.45,6500,270.84,14.25,270.82,113.06,2676.73,4522.45,116.62,170.17,1086.87,758.85,421.61,0.0
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,2138,Active,Regular,102638,0.0,0.0,49.64,256.03,5.8,3458.34,4800,200.0,9.55,68.44,86.46,2277.29,3458.34,13.5,209.18,476.79,704.26,257.05,21.17
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,3728,Active,Regular,110816,0.0,80.93,10.91,561.5,7.25,4046.05,7100,295.84,11.17,42.0,101.15,2460.14,4046.05,5.53,217.99,524.36,1061.55,287.59,17.44
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,4397,Active,Regular,101421,68.76,45.84,63.6,28.11,1.8,2291.67,0,0.0,1.65,17.5,57.3,1743.23,2291.67,17.01,62.0,297.69,250.75,190.25,0.0
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,1472,Active,Regular,101421,0.0,0.0,16.44,312.7,5.93,2677.09,0,0.0,0.0,107.25,66.93,1849.08,2677.09,74.77,0.0,173.19,654.82,273.24,3.13
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,5514,Active,Regular,102492,195.84,117.5,12.8,349.36,6.9,3916.67,3000,125.0,0.0,138.49,97.92,2139.94,3916.67,7.38,244.79,904.48,872.25,285.48,11.91
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,4014,Active,Regular,111661,21.96,21.96,0.0,0.0,2.8,2195.84,1800,75.0,6.06,42.0,54.9,1703.87,2195.84,16.8,86.0,247.28,244.69,187.94,7.23
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,3403,Active,Regular,103335,90.39,56.49,49.64,224.08,4.43,2259.51,0,0.0,6.82,149.69,56.48,1549.7,2259.51,7.23,0.0,327.78,382.03,177.56,0.0
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,4032,Active,Regular,100908,77.14,102.85,0.0,338.94,2.22,2571.25,0,0.0,0.0,0.0,64.28,1652.97,2571.25,69.48,125.33,257.13,661.15,277.48,0.0
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,5484,Active,Regular,100347,364.07,121.35,7.72,287.92,3.84,3033.85,600,25.0,0.0,18.18,75.85,2102.47,3033.85,101.16,0.0,414.97,516.41,347.96,0.0
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,850,Active,Regular,110825,430.21,245.83,20.64,438.0,11.03,6145.84,7100,295.84,0.0,73.97,153.65,4092.45,6145.84,35.35,249.73,924.58,1128.81,476.43,0.61
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,4382,Active,Regular,111880,228.94,133.55,18.43,455.93,6.7,3815.63,7100,295.84,6.83,56.0,95.39,2474.91,3815.63,0.0,0.0,621.92,718.8,262.87,15.88
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,4145,Active,Regular,102172,0.0,137.02,0.0,338.29,13.23,3425.53,0,0.0,10.79,0.0,85.63,1851.67,3425.53,79.09,123.0,849.5,724.36,342.89,0.0
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,4823,Active,Regular,111661,111.57,66.94,59.19,0.0,2.32,2231.25,2000,83.34,0.0,56.0,55.78,1758.61,2231.25,52.72,0.0,317.11,155.53,220.45,1.94
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,105,Active,Regular,102640,111.39,74.26,68.22,298.44,14.84,3712.84,0,0.0,11.7,131.6,92.82,2422.72,3712.84,72.33,161.57,569.21,720.91,334.3,13.15
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,5050,Active,Regular,101958,0.0,207.0,29.73,463.03,14.93,5175.0,3000,125.0,0.0,99.96,129.38,3313.13,5175.0,39.79,239.0,784.07,1077.8,415.56,23.38
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,705,Active,Regular,102634,343.34,171.67,5.66,610.91,33.54,4291.67,3000,125.0,13.52,119.54,107.3,2750.52,4291.67,8.25,0.0,618.51,922.64,319.98,0.0
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,5992,Active,Regular,102571,285.84,163.33,5.8,581.81,5.84,4083.34,0,0.0,0.0,17.5,102.08,2880.78,4083.34,0.0,0.0,309.75,892.81,311.0,0.61
