MLService,Model,Version,GCC,LCC,Period,PayrollService,System,Client,ABKRS,PERNR,PersArea,EmpGroup,EmpSubgroup,ForPeriod,GenlTaxableAmount,BenEEContrib,401KWages,BaseForBSI,TGEESocSecTax,TaxBaseWage,TaxGrossWage,TBWithholdingTax,REWithholdingTax,EEGTLITaxable,TNTDWithholdingTax,AnnSal,BonusAccrual,ActBaseSal,9GLG,Year,TaxStatus,ExtraTaxAmt,NumExemptions,ExemptInd_R,FedTaxWithholding
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63033556,7919,1,M0,201915,4217.64,-523.99,4185.54,4210.54,4217.64,4210.54,4210.54,15625.17,11645.63,7.1,7.1,100453.0,837.11,4185.54,0.0,2019,2,0.0,1,0,346.22
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10160772,3068,1,N0,201915,6673.32,-183.58,6455.38,6480.38,6673.32,6480.38,6601.02,12366.35,12366.35,72.3,144.6,154929.0,1936.61,6455.38,258.22,2019,1,0.0,5,0,970.41
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63020709,2440,1,78,201915,3372.93,-577.26,3368.07,3368.07,3372.93,3368.07,3368.07,5581.62,5581.62,4.86,9.72,80833.78,0.0,3368.07,303.13,2019,2,0.0,0,0,259.73
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63022542,8219,1,M0,201915,3699.17,-360.33,3666.67,3691.67,3699.17,3691.67,3691.67,14091.39,10495.21,7.5,7.5,88000.0,586.67,3666.67,293.33,2019,1,0.0,0,0,519.23
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63041238,7919,1,M0,201915,4035.81,-674.54,4030.25,4030.25,4035.81,4030.25,4030.25,15236.46,11276.21,5.56,5.56,96726.0,806.05,4030.25,0.0,2019,1,0.0,1,0,492.36
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63041612,1036,1,N0,201915,8318.16,-826.44,8253.44,8253.44,8318.16,8253.44,8253.44,7457.86,7457.86,64.72,64.72,198083.0,4126.73,8253.44,0.0,2019,2,0.0,4,0,1033.44
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63027308,8365,1,M0,201915,4796.56,-1002.6,4783.88,4783.88,4796.56,4783.88,4783.88,3960.22,3960.22,12.68,12.68,114813.0,956.78,4783.88,0.0,2019,2,0.0,1,0,379.46
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10402732,3068,1,NS,201915,6822.62,-890.92,6765.0,6765.0,6822.62,6765.0,6765.0,11599.72,11599.72,57.62,115.24,162360.0,3382.5,6765.0,608.85,2019,1,0.0,1,0,1069.24
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63043687,8365,1,M0,201915,5343.33,-473.56,5333.33,5333.33,5343.33,5333.33,5333.33,4808.5,4808.5,10.0,10.0,128000.0,1066.67,5333.33,0.0,2019,1,0.0,2,0,789.31
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63019200,3428,1,78,201915,2406.63,-595.56,2377.74,2402.74,2406.63,2402.74,2402.74,2031.11,2031.11,3.89,3.89,57065.75,0.0,2377.74,213.99,2019,6,25.0,1,0,225.95
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10402511,8056,1,N0,201915,5903.98,-1060.85,5833.21,5833.21,5903.98,5833.21,5879.71,19208.72,14406.54,24.27,72.81,139997.0,1749.96,5833.21,524.99,2019,2,0.0,1,0,564.69
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63020202,1036,1,NS,201915,6886.98,-557.8,6702.21,6702.21,6886.98,6702.21,6873.83,12722.69,12722.69,13.15,26.3,160853.0,3351.1,6702.21,469.15,2019,2,0.0,0,0,936.67
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63037119,8612,1,N0,201915,8309.71,-1160.04,8048.83,8130.13,8309.71,8130.13,8282.81,14472.61,14472.61,26.9,53.8,195123.0,3252.05,8130.13,0.0,2019,2,0.0,4,0,949.42
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63045209,8359,1,M0,201915,8250.63,-575.71,8068.63,8068.63,8250.63,8068.63,8243.63,15379.76,15379.76,7.0,14.0,95000.0,633.33,8068.63,0.0,2019,2,0.0,4,0,1084.48
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63042912,3068,T,V1,201915,5653.09,0.0,0.0,5653.09,5653.09,5653.09,2638.65,11306.18,11306.18,0.0,0.0,135674.16,0.0,0.0,0.0,2019,1,0.0,0,0,1076.01
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63036690,8241,1,M0,201915,4087.86,-259.03,4034.38,4034.38,4087.86,4034.38,4080.88,7663.52,7663.52,6.98,13.96,96825.0,806.88,4034.38,0.0,2019,2,0.0,0,0,389.7
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63044411,2440,1,78,201915,2604.89,-321.61,2755.38,2187.5,2756.32,2187.5,2603.95,4794.12,4794.12,0.94,1.88,52499.97,0.0,2187.5,0.0,2019,2,0.0,5,0,107.48
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63016075,1020,1,78,201915,4162.27,-648.63,3962.27,3987.27,4162.27,3987.27,4162.27,3726.49,3726.49,0.0,0.0,95094.39,0.0,3962.27,356.61,2019,1,0.0,1,0,573.93
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63036613,2440,1,M0,201915,4739.04,-490.38,4614.42,4639.42,4739.04,4639.42,4725.66,4112.59,4112.59,13.38,13.38,110746.0,922.88,4614.42,0.0,2019,2,0.0,5,0,313.34
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10400349,7919,1,N0,201915,6119.36,-222.42,5972.88,5997.88,6119.36,5997.88,6108.06,23117.0,17208.44,11.3,22.6,143349.0,1791.86,5972.88,238.92,2019,2,0.0,8,0,459.75
